fault_source_id|fault_summary_id|aseismic_slip_factor|compiler_id|completion_id|contributor_id|dip|dip_dir|last_movement|length|lower_sm_depth|magnitude|name|recurrence_interval|slip_rate|slip_type_id|upper_sm_depth|created_date|modified_date|tectonic_region|area|width|geom|compiler_name|contributor_name|pref_magnitude|pref_dip|pref_slip_rate|pref_length|pref_width|pref_area|pref_lsd|pref_usd|pref_recint|slip_type
6185||0.00|576||585|(40,60,50)|131||(7.45567743132,23.77745940735,21.6158721885)|(7,9,8)|(,,6.57524777580826)|Ohena 01|(,,3467)|(0.261361602912549,0.435602671520915,0.348482137216732)|204|(,,0)|2011-08-29|2011-08-29|TVZ|(60.2635232074907,332.920441279986,225.740136961142)|(8.08290376865476,14.0015144417437,10.4432583146582)|MULTIPOLYGON(((176.89364388 -36.88176204,176.78373408 -36.966762,176.73379704 -37.02676203,176.65333308 -36.97000002,176.70333312 -36.90999999,176.81333292 -36.82500003,176.89364388 -36.88176204)))|Nicola Litchfield|Mark Stirling|6.57524777580826|50|0.348482137216732|21.6158721885|10.4432583146582|225.740136961142|8|0|3467|Normal
6186||0.00|576||585|(40,60,50)|129||(25.1478276422,35.2748252483,32.068022953)|(7,9,8)|(,,6.80307600708204)|Ohena 02|(,,653)|(2.05355545145574,3.42259241909291,2.73807393527433)|204|(,,0)|2011-08-29|2011-08-29|TVZ|(203.267470822619,493.900975144058,334.894647338568)|(8.08290376865476,14.0015144417437,10.4432583146582)|MULTIPOLYGON(((177.11344188 -36.74030796,176.91196104 -36.91030797,176.89201596 -36.96030801,176.89201704 -36.961974,176.80833288 -36.90833301,176.80833288 -36.90666702,176.82833304 -36.85666698,177.03 -36.68666697,177.11344188 -36.74030796)))|Nicola Litchfield|Mark Stirling|6.80307600708204|50|2.73807393527433|32.068022953|10.4432583146582|334.894647338568|8|0|653|Normal
6187||0.00|576||585|(40,60,50)|132||(10.8611107032,20.93421133089,19.0311012099)|(7,9,8)|(,,6.50168701213568)|Ohena 03|(,,518)|(1.54016658859181,2.56694431431968,2.05355545145574)|204|(,,0)|2011-08-29|2011-08-29|TVZ|(87.7893126346718,293.110662275971,198.74670594739)|(8.08290376865476,14.0015144417437,10.4432583146582)|MULTIPOLYGON(((177.05254896 -36.74761704,176.90934708 -36.87428403,176.82999984 -36.81666702,176.97333312 -36.69000003,177.05254896 -36.74761704)))|Nicola Litchfield|Mark Stirling|6.50168701213568|50|2.05355545145574|19.0311012099|10.4432583146582|198.74670594739|8|0|518|Normal
6188||0.00|576||585|(40,60,50)|134||(7.15581165742,20.1543150028,18.322104548)|(7,9,8)|(,,6.47975722473798)|Ohena 04|(,,499)|(1.54016658859181,2.56694431431968,2.05355545145574)|204|(,,0)|2011-08-29|2011-08-29|TVZ|(57.8397370135438,282.190932575156,191.342470662938)|(8.08290376865476,14.0015144417437,10.4432583146582)|MULTIPOLYGON(((177.03172296 -36.744741,176.88850884 -36.86307399,176.81166684 -36.80333298,176.95500012 -36.68499999,177.03172296 -36.744741)))|Nicola Litchfield|Mark Stirling|6.47975722473798|50|2.05355545145574|18.322104548|10.4432583146582|191.342470662938|8|0|499|Normal
6189||0.00|576||585|(40,60,50)|303||(5.56943531372,10.347281218626,9.40661928966)|(7,9,8)|(,,6.09466664458051)|Ohiwa 01|(,,296)|(1.35,2.2125,1.78125)|204|(,,0)|2011-08-29|2011-08-29|TVZ|(45.0172096865463,144.877607415375,98.2357551095663)|(8.08290376865476,14.0015144417437,10.4432583146582)|MULTIPOLYGON(((177.15138012 -37.61623899,177.21 -37.68833304,177.15166704 -37.71333297,177.12166716 -37.73333304,177.06301092 -37.66123899,177.093027 -37.64123901,177.15138012 -37.61623899)))|Nicola Litchfield|Mark Stirling|6.09466664458051|50|1.78125|9.40661928966|10.4432583146582|98.2357551095663|8|0|296|Normal
6190||0.00|576||585|(40,60,50)|323||(7.75085944815,8.525945392965,7.75085944815)|(7,9,8)|(,,5.98283531591396)|Ohiwa North 01|(,,1029)|(0.317367660679524,0.52894610113254,0.423156880906032)|204|(,,0)|2011-08-29|2011-08-29|TVZ|(62.649451043765,119.376147549118,80.9442273776398)|(8.08290376865476,14.0015144417437,10.4432583146582)|MULTIPOLYGON(((177.204231 -37.53609102,177.28999992 -37.58833296,177.236667 -37.64333304,177.15083508 -37.59109101,177.204231 -37.53609102)))|Nicola Litchfield|Mark Stirling|5.98283531591396|50|0.423156880906032|7.75085944815|10.4432583146582|80.9442273776398|8|0|1029|Normal
6191||0.00|576||585|(80,90,90)|330||(9,11,10)|(13,17,15)|(,,6.13)|Okaia 3|(,,7813)|(0.04,0.07,0.05)|204|(,,0)|2011-08-29|2011-08-29|TVZ|(117,189.884776422634,150)|(13,17.2622524020577,15)|MULTIPOLYGON(((174.47174784 -40.073409,174.50510184 -40.02340896,174.52178316 -39.99007602,174.54999996 -39.99999996,174.53333304 -40.03333299,174.49999992 -40.08333303,174.47174784 -40.073409)))|Nicola Litchfield|Mark Stirling|6.13|90|0.05|10|15|150|15|0|7813|Normal
6192||0.00|576||585|(80,90,90)|330||(20.7,25.3,23)|(13,17,15)|(,,6.6110980219034)|Okaia 5|(,,29825)|(0.01,0.05,0.03)|204|(,,0)|2011-08-29|2011-08-29|TVZ|(269.1,436.734985772059,345)|(13,17.2622524020577,15)|MULTIPOLYGON(((174.46177008 -40.11011001,174.47013216 -40.04344296,174.53685708 -39.91011003,174.56666688 -39.91666698,174.49999992 -40.05,174.491667 -40.11666696,174.46177008 -40.11011001)))|Nicola Litchfield|Mark Stirling|6.6110980219034|90|0.03|23|15|345|15|0|29825|Normal
6193||0.00|576||585|(65,85,75)|300||(55.8,68.2,62)|(13,17,15)|(,,7.36395390663299)|Okupe|(,,5397)|(0.4,1,0.8)|202|(,,0)|2011-08-29|2011-08-29|Rest of NZ|(728.170910153944,1279.25635924511,962.806847781377)|(13.0496578880635,18.7574246223624,15.5291427061512)|MULTIPOLYGON(((174.50014608 -41.23856097,174.75729696 -40.81189401,174.83404716 -40.73689404,174.90833316 -40.76499996,174.83166684 -40.84000002,174.57500016 -41.26666698,174.50014608 -41.23856097)))|Nicola Litchfield|Mark Stirling|7.36395390663299|75|0.8|62|15.5291427061512|962.806847781377|15|0|5397|Reverse
6194||0.00|576||585|(40,60,50)|106||(18.07333482,26.0952688623,23.722971693)|(7,9,8)|(,,6.62897489054859)|Okurei 01|(,,2868)|(0.370759535930608,0.553372441687474,0.462065988809041)|204|(,,0)|2011-08-29|2011-08-29|TVZ|(146.085026128737,365.373283836678,247.745121381324)|(8.08290376865476,14.0015144417437,10.4432583146582)|MULTIPOLYGON(((176.62810788 -37.517724,176.60817792 -37.56772404,176.608305 -37.65772404,176.56505496 -37.716057,176.46000012 -37.69499997,176.50333296 -37.63666701,176.50333296 -37.54666701,176.52333312 -37.49666697,176.62810788 -37.517724)))|Nicola Litchfield|Mark Stirling|6.62897489054859|50|0.462065988809041|23.722971693|10.4432583146582|247.745121381324|8|0|2868|Normal
